ang_sep,delta_mag
0.0,0.0
0.139,1.984
0.252,5.269
0.372,6.517
0.495,6.482
0.617,7.242
0.738,7.508
0.86,7.68
0.981,7.764
1.104,7.807
1.225,7.801
1.348,7.826
1.47,7.845
1.593,7.864
1.716,7.86
1.837,7.889
1.96,7.919
2.082,7.879
2.204,7.851
2.327,7.888
2.45,7.851
2.573,7.833
2.694,7.863
2.817,7.868
2.94,7.852
3.062,7.838
3.185,7.86
3.307,7.87
3.429,7.884
3.552,7.848
3.674,7.857
3.796,7.848
3.919,7.901
4.041,7.871
4.163,7.868
4.286,7.879
4.408,7.855
4.531,7.847
4.654,7.853
4.776,7.876
4.898,7.868
5.021,7.86
5.143,7.882
5.266,7.86
5.388,7.871
5.51,7.882
5.633,7.882
5.755,7.879
5.878,7.879
6.0,7.89
6.123,7.866
6.245,7.871
6.367,7.875
6.49,7.906
6.612,7.876
6.735,7.886
6.857,7.889
6.979,7.888
7.102,7.851
7.224,7.877
7.347,7.868
7.469,7.881
7.592,7.865
7.714,7.88
