ang_sep,delta_mag
0.0,0.0
0.01,0.0
0.02,0.0
0.025848,0.0
0.03,0.279524
0.04,0.952721
0.05,1.625917
0.06,2.299113
0.07,2.972309
0.08,3.645506
0.09,4.318702
0.1,4.991898
0.1,4.991898
0.11,5.044171
0.12,5.096312
0.13,5.14841
0.14,5.200551
0.15,5.252824
0.16,5.305316
0.17,5.358116
0.18,5.411252
0.19,5.463419
0.2,5.511974
0.21,5.554217
0.22,5.587448
0.23,5.609121
0.24,5.620253
0.25,5.62542
0.26,5.629357
0.27,5.636794
0.28,5.652324
0.29,5.677268
0.3,5.709681
0.31,5.747478
0.32,5.78857
0.33,5.830931
0.34,5.873877
0.35,5.918075
0.36,5.964248
0.37,6.013122
0.38,6.065393
0.39,6.121169
0.4,6.179967
0.41,6.241275
0.42,6.304584
0.43,6.369369
0.44,6.434746
0.45,6.499476
0.46,6.562301
0.47,6.621966
0.48,6.677244
0.49,6.727569
0.5,6.77304
0.51,6.813781
0.52,6.84992
0.53,6.881599
0.54,6.909338
0.55,6.934037
0.56,6.956612
0.57,6.977979
0.58,6.99904
0.59,7.02041
0.6,7.04241
0.61,7.065353
0.62,7.089548
0.63,7.115288
0.64,7.142455
0.65,7.170521
0.66,7.198938
0.67,7.227159
0.68,7.254671
0.69,7.281701
0.7,7.30922
0.71,7.338233
0.72,7.369742
0.73,7.404729
0.74,7.443686
0.75,7.486613
0.76,7.533488
0.77,7.584291
0.78,7.638964
0.79,7.696649
0.8,7.755685
0.81,7.814375
0.82,7.871023
0.83,7.923964
0.84,7.972238
0.85,8.015594
0.86,8.053812
0.87,8.086669
0.88,8.113983
0.89,8.136421
0.9,8.155506
0.91,8.172795
0.92,8.189846
0.93,8.208188
0.94,8.228673
0.95,8.251473
0.96,8.276731
0.97,8.30459
0.98,8.33517
0.99,8.368012
1.0,8.402078
1.01,8.436309
1.02,8.469642
1.03,8.501044
1.04,8.530077
1.05,8.556904
1.06,8.581714
1.07,8.604697
1.08,8.626039
1.09,8.645936
1.1,8.664583
1.11,8.682178
1.12,8.698919
1.13,8.715002
1.14,8.730609
1.15,8.74591
1.16,8.761071
1.17,8.77626
