ang_sep,delta_mag
0.0,0.0
0.125,1.958
0.233,5.285
0.343,6.78
0.453,6.738
0.563,7.249
0.677,7.667
0.79,8.072
0.901,8.225
1.014,8.388
1.128,8.425
1.239,8.397
1.35,8.485
1.462,8.509
1.575,8.519
1.688,8.538
1.8,8.515
1.913,8.519
2.026,8.485
2.138,8.546
2.249,8.502
2.361,8.496
2.474,8.514
2.587,8.498
2.7,8.522
2.813,8.535
2.925,8.533
3.037,8.536
3.149,8.537
3.261,8.551
3.375,8.516
3.487,8.527
3.6,8.539
3.712,8.558
3.825,8.537
3.936,8.524
4.049,8.516
4.161,8.534
4.274,8.534
4.386,8.532
4.5,8.544
4.612,8.541
4.724,8.541
4.835,8.529
4.948,8.532
5.061,8.529
5.174,8.542
5.286,8.531
5.399,8.529
5.511,8.541
5.623,8.527
5.735,8.51
5.848,8.543
5.961,8.525
6.073,8.549
6.186,8.518
6.298,8.535
6.411,8.526
6.522,8.515
6.635,8.519
6.748,8.518
6.861,8.535
6.973,8.535
7.086,8.519
7.198,8.542
7.31,8.543
7.422,8.559
7.535,8.535
7.648,8.537
7.76,8.548
