ang_sep,delta_mag
0.0,0.0
0.01,0.0
0.02,0.0
0.025848,0.0
0.03,0.219355
0.04,0.747643
0.05,1.27593
0.06,1.804218
0.07,2.332506
0.08,2.860793
0.09,3.389081
0.1,3.917368
0.1,3.917368
0.11,3.917294
0.12,3.916258
0.13,3.914901
0.14,3.913865
0.15,3.913791
0.16,3.915321
0.17,3.919096
0.18,3.925737
0.19,3.935399
0.2,3.947764
0.21,3.962499
0.22,3.979267
0.23,3.997711
0.24,4.016985
0.25,4.035749
0.26,4.052645
0.27,4.066314
0.28,4.075463
0.29,4.080376
0.3,4.082904
0.31,4.084972
0.32,4.0885
0.33,4.095363
0.34,4.10631
0.35,4.120971
0.36,4.138923
0.37,4.159746
0.38,4.182992
0.39,4.207607
0.4,4.231925
0.41,4.254258
0.42,4.272915
0.43,4.286261
0.44,4.293923
0.45,4.29679
0.46,4.295805
0.47,4.291912
0.48,4.28605
0.49,4.279044
0.5,4.271603
0.51,4.264433
0.52,4.25824
0.53,4.25372
0.54,4.251415
0.55,4.251705
0.56,4.254964
0.57,4.261566
0.58,4.271846
0.59,4.285196
0.6,4.300075
0.61,4.314898
0.62,4.328079
0.63,4.338061
0.64,4.343858
0.65,4.345063
0.66,4.341292
0.67,4.332162
0.68,4.317342
0.69,4.297738
0.7,4.275488
0.71,4.252785
0.72,4.231821
0.73,4.214738
0.74,4.202544
0.75,4.195107
0.76,4.192246
0.77,4.193783
0.78,4.199521
0.79,4.208905
0.8,4.221023
0.81,4.234945
0.82,4.249742
0.83,4.264497
0.84,4.278546
0.85,4.291477
0.86,4.302891
0.87,4.312387
0.88,4.319587
0.89,4.324575
0.9,4.3279
0.91,4.33013
0.92,4.331835
0.93,4.333583
0.94,4.33594
0.95,4.339466
0.96,4.344724
0.97,4.352275
0.98,4.362636
0.99,4.375321
1.0,4.388843
1.01,4.401669
1.02,4.412267
1.03,4.419143
1.04,4.421698
1.05,4.420227
1.06,4.415063
1.07,4.406538
1.08,4.395007
1.09,4.381287
1.1,4.366662
1.11,4.352434
1.12,4.339907
1.13,4.330334
1.14,4.323818
1.15,4.319313
1.16,4.315721
1.17,4.311947
