M_sun,Teff,log(L),Radius,log(g),V,R,I,J,H,K,L_prime,M,M_jup
0.0005,240.0,-7.418,0.114,3.02,41.98,37.51,34.0,28.42,26.59,37.66,19.57,17.64,0.5237827573302386
0.001,309.0,-6.957,0.117,3.3,32.58,28.68,25.89,22.43,22.38,29.11,17.41,15.69,1.0475655146604772
0.002,425.0,-6.383,0.12,3.58,29.69,25.62,22.79,20.05,19.76,23.13,15.94,14.55,2.0951310293209544
0.003,493.0,-6.112,0.121,3.746,28.71,24.48,21.66,18.88,18.57,20.88,15.21,13.93,3.142696543981432
0.004,563.0,-5.88,0.122,3.869,28.09,23.77,20.95,17.95,17.71,19.35,14.59,13.5,4.190262058641909
0.005,630.0,-5.686,0.122,3.965,27.65,23.25,20.44,17.23,17.02,18.15,14.06,13.14,5.237827573302386
0.006,688.0,-5.534,0.121,4.048,27.36,22.92,20.09,16.71,16.51,17.26,13.67,12.83,6.285393087962864
0.007,760.0,-5.365,0.121,4.117,27.03,22.55,19.74,16.16,16.01,16.38,13.26,12.55,7.332958602623341
0.008,816.0,-5.246,0.12,4.18,26.77,22.28,19.49,15.76,15.65,15.79,12.97,12.35,8.380524117283818
0.009,886.0,-5.103,0.12,4.232,26.45,21.96,19.19,15.32,15.23,15.16,12.63,12.13,9.428089631944294
0.01,953.0,-4.978,0.12,4.279,26.1,21.66,18.92,14.94,14.86,14.69,12.34,11.96,10.475655146604772
0.012,1335.0,-4.332,0.129,4.297,23.53,19.44,16.79,13.2,12.97,12.76,10.9,11.17,12.570786175925727
0.015,1399.0,-4.281,0.124,4.424,23.3,19.24,16.46,13.05,12.82,12.65,10.83,11.15,15.713482719907157
0.02,1561.0,-4.11,0.122,4.569,22.3,18.55,16.08,12.6,12.34,12.17,10.53,10.99,20.951310293209545
0.03,1979.0,-3.668,0.126,4.715,19.96,16.8,14.48,11.52,11.2,10.9,9.82,10.38,31.426965439814314
0.04,2270.0,-3.386,0.132,4.797,18.46,15.63,13.31,10.89,10.52,10.19,9.39,9.84,41.90262058641909
0.05,2493.0,-3.167,0.141,4.837,17.09,14.77,12.53,10.43,10.02,9.71,9.04,9.37,52.37827573302386
0.06,2648.0,-3.008,0.15,4.863,16.08,14.12,12.01,10.1,9.68,9.37,8.78,9.03,62.85393087962863
0.07,2762.0,-2.879,0.16,4.874,15.33,13.59,11.6,9.82,9.39,9.1,8.55,8.75,73.32958602623341
0.072,2782.0,-2.856,0.162,4.875,15.2,13.5,11.53,9.77,9.34,9.05,8.51,8.7,75.42471705555435
0.075,2809.0,-2.821,0.166,4.875,15.01,13.36,11.42,9.69,9.26,8.97,8.44,8.63,78.56741359953578
0.08,2846.0,-2.776,0.17,4.88,14.77,13.18,11.29,9.6,9.16,8.87,8.36,8.53,83.80524117283818
0.09,2910.0,-2.689,0.18,4.884,14.34,12.85,11.03,9.4,8.96,8.68,8.19,8.35,94.28089631944295
0.1,2960.0,-2.617,0.189,4.887,14.02,12.58,10.82,9.24,8.8,8.52,8.05,8.19,104.75655146604772
