M_sun,M_jup,Teff,log(L),Radius,log(g),V,R,I,J,H,K,L_prime,M
0.002,2.095131029,129,-8.57,0.105,3.698,60.05,54.63,49.68,38.16,34.52,53.62,23.33,20.8
0.003,3.142696544,161,-8.166,0.105,3.868,55.32,50.15,45.63,34.96,32.46,49.21,22.22,19.81
0.004,4.190262059,193,-7.867,0.105,3.994,50.68,45.8,41.76,32.14,30.52,45.15,21.28,18.92
0.005,5.237827573,220,-7.644,0.105,4.095,46.5,41.92,38.3,29.83,28.84,41.71,20.48,18.16
0.006,6.285393088,244,-7.469,0.104,4.18,42.71,38.43,35.18,27.8,27.34,38.67,19.78,17.49
0.007,7.332958603,265,-7.328,0.103,4.254,39.29,35.29,32.37,26.02,26,35.96,19.16,16.88
0.008,8.380524117,284,-7.217,0.103,4.318,36.31,32.57,29.93,24.5,24.85,33.65,18.64,16.36
0.009,9.428089632,301,-7.124,0.102,4.376,33.73,30.22,27.82,23.21,23.85,31.64,18.18,15.91
0.01,10.47565515,322,-7.015,0.101,4.429,33.05,29.47,27.06,22.74,23.3,30.49,17.91,15.71
0.012,12.57078618,361,-6.823,0.1,4.519,31.58,27.86,25.46,21.77,22.17,28.16,17.41,15.32
0.015,15.71348272,399,-6.671,0.098,4.634,30.2,26.35,24,20.85,21.14,26.01,16.96,14.97
0.02,20.95131029,473,-6.401,0.095,4.786,29.24,25.17,22.66,19.89,19.92,23.31,16.18,14.45
0.03,31.42696544,610,-6.008,0.09,5.011,28.17,23.83,21.17,18.34,18.31,20.04,15.04,13.71
0.04,41.90262059,760,-5.67,0.085,5.179,27.58,23.15,20.4,17.04,17.11,17.99,14.17,13.13
0.05,52.37827573,931,-5.353,0.082,5.313,27.09,22.63,19.82,15.94,16.05,16.38,13.38,12.63
0.06,62.85393088,1120,-5.058,0.079,5.418,26.44,22.03,19.2,15.01,15.13,15.15,12.73,12.27
0.07,73.32958603,1524,-4.504,0.081,5.466,24.33,20.36,17.6,13.52,13.5,13.44,11.6,11.77
0.072,75.42471706,1712,-4.278,0.083,5.453,23.11,19.36,16.75,12.97,12.85,12.8,11.16,11.54
0.075,78.5674136,2006,-3.942,0.089,5.411,21.03,17.8,15.34,12.2,11.92,11.78,10.54,11.06
0.08,83.80524117,2320,-3.603,0.099,5.353,19.11,16.28,13.89,11.44,11.07,10.82,9.97,10.43
0.09,94.28089632,2622,-3.275,0.113,5.289,17.02,14.88,12.7,10.73,10.31,10.04,9.42,9.73
0.1,104.7565515,2785,-3.083,0.125,5.247,15.85,14.09,12.09,10.33,9.89,9.62,9.07,9.31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ms2Mj:,1047.565515,,,,,,,,,,,,
