ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,620.4805689565414
0.01,0.0,0.325086960762004,620.4805689565414
0.02,0.0,0.650173921524008,620.4805689565414
0.025848,0.0,0.840284776177628,620.4805689565414
0.03,0.247167,0.975260882286012,589.3317073513201
0.04,0.842435,1.300347843048016,507.9221326037185
0.05,1.437704,1.6254348038100201,420.6177308244976
0.06,2.032972,1.950521764572024,363.4404157250285
0.07,2.628241,2.2756087253340285,275.3263701108413
0.08,3.223509,2.600695686096032,221.03842297217892
0.09,3.818777,2.925782646858036,182.14867523121018
0.1,4.414046,3.2508696076200403,148.41173750743158
0.1,4.414046,3.2508696076200403,148.41173750743158
0.11,4.503725,3.5759565683820442,143.6161347799705
0.12,4.592434,3.901043529144048,138.87240299939378
0.13,4.680819,4.226130489906052,134.1459971845805
0.14,4.769529,4.551217450668057,129.40221192880063
0.15,4.859207,4.87630441143006,125.86104910782635
0.16,4.950502,5.201391372192064,122.42202964399164
0.17,5.04406,5.526478332954069,118.89776453640134
0.18,5.140435,5.851565293716072,115.26738498848451
0.19,5.238052,6.176652254478077,111.590220160168
0.2,5.333208,6.501739215240081,108.00575949856919
0.21,5.422107,6.826826176002084,105.96571676455666
0.22,5.500956,7.1519131367640885,104.76669186231604
0.23,5.566152,7.477000097526092,103.77528261772858
0.24,5.618594,7.802087058288096,102.97781830082788
0.25,5.663673,8.1271740190501,102.29232015160464
0.26,5.706978,8.452260979812104,101.6337985040057
0.27,5.754097,8.777347940574108,100.9172788985741
0.28,5.810422,9.102434901336114,100.06076736870433
0.29,5.876834,9.427521862098116,99.0508669031613
0.3,5.949703,9.75260882286012,97.94277744608041
0.31,6.0252,10.077695783622124,97.06257615815016
0.32,6.0995,10.402782744384128,96.41395851032289
0.33,6.168901,10.727869705146134,95.80810772463161
0.34,6.232593,11.052956665908138,95.25209486830032
0.35,6.292659,11.37804362667014,94.72773594993701
0.36,6.351307,11.703130587432144,94.24181198622034
0.37,6.410745,12.028217548194148,93.9304859909184
0.38,6.473106,12.353304508956153,93.60384982561969
0.39,6.538784,12.678391469718157,93.25983978626034
0.4,6.606439,13.003478430480161,92.90547456178857
0.41,6.674653,13.328565391242163,92.54818139170331
0.42,6.74201,13.653652352004167,92.1953770398484
0.43,6.807116,13.978739312766173,91.66249857602563
0.44,6.869102,14.303826273528177,91.14985860766974
0.45,6.927629,14.62891323429018,90.66582544811818
0.46,6.982378,14.954000195052185,90.21303730841703
0.47,7.033031,15.279087155814187,89.79412412935837
0.48,7.079289,15.604174116576193,89.41155871690707
0.49,7.121298,15.929261077338197,89.06413361396991
0.5,7.159642,16.2543480381002,88.72527522493358
0.51,7.194927,16.579434998862205,88.41202650302856
0.52,7.22776,16.90452195962421,88.1205458374112
0.53,7.258756,17.229608920386212,87.8453734586619
0.54,7.288747,17.554695881148216,87.57912314213493
0.55,7.318784,17.879782841910224,87.31246445261073
0.56,7.349927,18.204869802672228,87.03598705580504
0.57,7.383237,18.529956763434228,86.74027173975978
0.58,7.419728,18.855043724196232,86.41631654318795
0.59,7.45936,19.180130684958236,86.06447657304369
0.6,7.501035,19.50521764572024,85.69449951521761
0.61,7.543611,19.830304606482244,85.31652367324995
0.62,7.585946,20.155391567244248,84.94068735068088
0.63,7.626901,20.480478528006252,84.57710221802901
0.64,7.665385,20.805565488768256,84.23545381746804
0.65,7.70036,21.130652449530263,83.92495717445746
0.66,7.730789,21.455739410292267,83.70083009722329
0.67,7.755636,21.78082637105427,83.54771915403055
0.68,7.773933,22.105913331816275,83.43497029390264
0.69,7.786308,22.431000292578275,83.35871368658543
