ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,961.3048782014721
0.132,2.244,16.620498614958482,476.5146579767509
0.241,5.018,30.34500125912874,139.74971856926715
0.358,6.383,45.076806849660116,87.87235608319733
0.475,6.491,59.808612440191496,86.38371035183769
0.59,7.132,74.2885922941326,83.64045966966063
0.71,7.328,89.3981364895494,83.09631090720005
0.825,7.61,103.87811634349049,81.55769905851254
0.942,7.822,118.60992193402187,80.40101213680421
1.061,7.83,133.59355326114354,80.35736357372087
1.177,7.852,148.19944598337977,80.2373300252417
1.294,7.837,162.93125157391117,80.31917108102296
1.412,7.925,177.78897003273767,79.83903688710629
1.528,7.88,192.39486275497393,80.08456005445004
1.645,7.839,207.1266683455053,80.30825894025212
1.764,7.93,222.11029967262695,79.8117565351792
1.88,7.926,236.71619239486319,79.83358081672087
1.998,7.93,251.5739108536897,79.8117565351792
2.115,7.942,266.3057164442211,79.74628369055421
2.232,7.848,281.0375220347525,80.25915430678337
2.351,7.889,296.02115336187416,80.0354554209813
2.468,7.895,310.7529589524055,80.00271899866878
2.585,7.898,325.4847645429369,79.98635078751254
2.704,7.867,340.4683958700586,80.15548896946046
2.82,7.891,355.0742885922948,80.02454328021045
2.938,7.94,369.93200705112133,79.75719583132503
3.056,7.973,384.78972550994786,79.57714550860629
3.173,7.928,399.52153110047925,79.82266867595004
3.29,7.926,414.2533366910106,79.83358081672087
3.408,7.921,429.1110551498371,79.86086116864796
3.525,7.932,443.8428607403685,79.80084439440837
3.643,7.907,458.700579199195,79.93724615404379
3.76,7.919,473.43238478972637,79.8717733094188
3.878,7.941,488.29010324855295,79.75173976093963
3.996,7.899,503.1478217073794,79.98089471712713
4.112,7.936,517.7537144296157,79.7790201128667
4.23,7.915,532.6114328884422,79.89359759096045
4.348,7.932,547.4691513472687,79.80084439440837
4.465,7.892,562.2009569378001,80.01908720982505
4.583,7.917,577.0586753966267,79.88268545018963
4.7,7.912,591.790480987158,79.90996580211672
4.817,7.914,606.5222865776894,79.89905366134587
4.935,7.913,621.3800050365159,79.90450973173128
5.052,7.911,636.1118106270472,79.91542187250212
5.17,7.912,650.9695290858738,79.90996580211672
5.288,7.943,665.8272475447004,79.74082762016879
5.404,7.942,680.4331402669366,79.74628369055421
5.522,7.905,695.2908587257631,79.94815829481462
5.64,7.901,710.1485771845896,79.96998257635629
5.757,7.943,724.8803827751209,79.74082762016879
5.875,7.929,739.7381012339475,79.81721260556462
5.992,7.94,754.4699068244789,79.75719583132503
6.109,7.943,769.2017124150103,79.74082762016879
6.227,7.958,784.0594308738368,79.65898656438753
6.344,7.947,798.7912364643682,79.71900333862712
6.462,7.938,813.6489549231947,79.76810797209588
6.58,7.928,828.5066733820212,79.82266867595004
6.697,7.942,843.2384789725526,79.74628369055421
6.814,7.94,857.970284563084,79.75719583132503
6.932,7.923,872.8280030219105,79.84994902787712
7.049,7.931,887.5598086124419,79.8063004647938
7.167,7.937,902.4175270712684,79.7735640424813
7.284,7.951,917.1493326617997,79.69717905708546
7.402,7.938,932.0070511206263,79.76810797209588
7.52,7.939,946.8647695794527,79.76265190171046
7.637,7.938,961.5965751699841,79.76810797209588
7.754,7.934,976.3283807605155,79.78993225363755
