ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,896.2700355024524
0.053,2.732,6.631631631631625,373.0434899252489
0.099,3.854,12.387387387387376,208.10276110403876
0.145,5.613,18.143143143143124,97.30697375491994
0.192,5.768,24.024024024024,94.87138393333434
0.24,6.113,30.030030030029998,87.83807074079232
0.288,6.381,36.036036036035995,84.14402392593696
0.336,6.412,42.042042042042,83.7379707556485
0.383,6.35,47.92292292292287,84.57132038586427
0.431,6.538,53.92892892892887,82.83854171772087
0.479,6.469,59.93493493493487,83.14085841229205
0.527,6.498,65.94094094094088,82.83706441304051
0.575,6.483,71.94694694694687,82.99419924023958
0.622,6.562,77.82782782782775,82.89840260411071
0.67,6.515,83.83383383383375,82.7811750349306
0.718,6.504,89.83983983983974,82.77421048216087
0.766,6.519,95.84584584584574,82.79115184932891
0.813,6.551,101.72672672672661,82.87096636451537
0.861,6.592,107.73273273273261,82.97322871209802
0.909,6.522,113.73873873873862,82.79863446012763
0.957,6.553,119.74474474474462,82.87595477171452
1.005,6.545,125.75075075075061,82.8560011429179
1.053,6.557,131.7567567567566,82.88593158611283
1.1,6.507,137.6376376376375,82.76122140613398
1.148,6.486,143.6436436436435,82.96277227479976
1.196,6.5,149.6496496496495,82.81611310274728
1.244,6.528,155.6556556556555,82.8135996817251
1.292,6.53,161.6616616616615,82.81858808892424
1.339,6.527,167.54254254254238,82.81110547812551
1.387,6.481,173.54854854854838,83.01515055053278
1.435,6.505,179.5545545545544,82.76373482701426
1.483,6.51,185.5605605605604,82.76870401693272
1.531,6.492,191.56656656656637,82.89991834392013
1.578,6.517,197.44744744744725,82.78616344212975
1.626,6.484,203.45345345345322,82.98372358509296
1.674,6.496,209.45945945945923,82.85801572333371
1.722,6.541,215.46546546546523,82.8460243285196
1.77,6.502,221.47147147147123,82.79516179245407
1.818,6.508,227.47747747747724,82.76371560973357
1.865,6.497,233.35835835835812,82.8475400681871
1.913,6.481,239.36436436436412,83.01515055053278
1.961,6.474,245.37037037037013,83.08848013655901
2.009,6.459,251.3763763763761,83.24561496375809
2.057,6.47,257.3823823823821,83.13038275714543
2.104,6.468,263.263263263263,83.15133406743864
2.152,6.453,269.269269269269,83.3084688946377
2.2,6.446,275.275275275275,83.38179848066395
2.248,6.42,281.281281281281,83.65416551447568
2.296,6.484,287.287287287287,82.98372358509296
2.344,6.481,293.29329329329295,83.01515055053278
2.391,6.441,299.17417417417386,83.43417675639697
2.439,6.437,305.1801801801799,83.47607937698339
2.487,6.471,311.18618618618586,83.11990710199882
2.535,6.453,317.1921921921919,83.3084688946377
2.583,6.429,323.1981981981979,83.55988461815623
2.63,6.41,329.0790790790787,83.75892206594172
2.678,6.39,335.08508508508476,84.01997011499034
2.726,6.426,341.09109109109073,83.59131158359604
2.774,6.355,347.09709709709676,84.50240160200501
2.822,6.385,353.10310310310274,84.08888889884958
2.87,6.419,359.1091091091088,83.66464116962229
2.917,6.356,364.98998998998957,84.48861784523318
2.965,6.376,370.9959959959956,84.21294270979621
3.013,6.417,377.0020020020016,83.68559247991548
3.061,6.364,383.0080080080076,84.3783477910584
3.109,6.382,389.0140140140136,84.13024016916512
3.156,6.388,394.8948948948945,84.04753762853403
3.204,6.36,400.9009009009005,84.43348281814576
3.252,6.38,406.90690690690644,84.1578076827088
3.3,6.398,412.9129129129125,83.90970006081554
3.348,6.362,418.91891891891845,84.40591530460208
3.396,6.388,424.9249249249245,84.04753762853403
3.443,6.336,430.8058058058054,84.76429298067013
3.491,6.397,436.81181181181137,83.92348381758738
3.539,6.36,442.8178178178174,84.43348281814576
3.587,6.394,448.8238238238234,83.96483508790293
3.635,6.357,454.82982982982935,84.47483408846131
3.683,6.308,460.8358358358353,85.1502381702819
3.73,6.33,466.71671671671623,84.84699552130122
3.778,6.375,472.7227227227222,84.22672646656805
3.826,6.338,478.72872872872824,84.73672546712645
3.874,6.315,484.7347347347342,85.05375187287896
3.922,6.31,490.74074074074025,85.1226706567382
