ang_sep,delta_mag,sep,M_jup
0.0,0.0,0.0,1016.8670748672182
0.056,1.706,2.791625124626122,603.0162515209107
0.103,4.111,5.134596211365904,227.78988549900583
0.152,5.465,7.57726819541376,125.20769410589263
0.202,6.452,10.069790628115657,90.85585773258389
0.251,6.781,12.512462612163512,85.3828039458725
0.301,6.628,15.004985044865407,87.49171873196528
0.351,7.098,17.4975074775673,83.01345410017692
0.401,8.022,19.990029910269197,80.4958663527136
0.451,8.258,22.482552342971093,79.20823374175528
0.5,8.432,24.92522432701895,78.39318144652562
0.55,8.265,27.417746759720846,79.17004124905735
0.6,8.557,29.91026919242274,78.00804706662366
0.65,8.667,32.402791625124635,77.66912881230994
0.7,8.967,34.895314057826525,76.74480630054524
0.75,9.404,37.38783649052842,75.39673022388895
0.8,9.388,39.88035892323032,75.44767370903544
0.85,9.338,42.372881355932215,75.60172746099622
0.9,9.499,44.86540378863411,75.08573421162333
0.95,9.552,47.357926221336,74.91223117320146
1.0,9.585,49.8504486540379,74.80420097946708
1.05,9.614,52.342971086739794,74.70926535467021
1.1,9.568,54.83549351944169,74.85985289745146
1.15,9.226,57.32801595214358,75.94680786538838
1.2,9.491,59.82053838484548,75.11192334949833
1.25,9.596,62.313060817547374,74.76819091488896
1.3,9.614,64.80558325024927,74.70926535467021
1.35,9.646,67.29810568295116,74.6045088031702
1.4,9.622,69.79062811565305,74.6830762167952
1.45,9.608,72.28315054835495,74.72890720807645
1.5,9.639,74.77567298105684,74.62742429881084
1.55,9.618,77.26819541375875,74.6961707857327
1.6,9.655,79.76071784646064,74.57504602306084
1.65,9.608,82.25324027916253,74.72890720807645
1.7,9.572,84.74576271186443,74.84675832851396
1.75,9.528,87.23828514456632,74.99079858682646
1.8,9.487,89.73080757726822,75.12501791843583
1.85,9.504,92.22333000997011,75.06936600045145
1.9,9.437,94.715852442672,75.28870003015459
1.95,9.479,97.20837487537389,75.15120705631084
2.0,9.318,99.7008973080758,75.66334896178053
2.05,9.477,102.19341974077768,75.15775434077958
2.1,9.378,104.68594217347959,75.47848445942759
2.15,9.421,107.17846460618148,75.34107830590459
2.2,9.362,109.67098703888338,75.52778166005504
2.25,9.397,112.16350947158527,75.41964571952958
2.3,9.332,114.65603190428716,75.62021391123152
2.35,9.353,117.14855433698906,75.55551133540799
2.4,9.364,119.64107676969095,75.52161950997662
2.45,9.405,122.13359920239286,75.39345658165459
2.5,9.296,124.62612163509475,75.73113261264328
2.55,9.342,127.11864406779664,75.58940316083935
2.6,9.315,129.61116650049854,75.67259218689819
2.65,9.299,132.10368893320043,75.72188938752564
2.7,9.309,134.59621136590232,75.69107863713347
2.75,9.245,137.0887337986042,75.88826743964329
2.8,9.259,139.5812562313061,75.84513238909426
2.85,9.359,142.07377866400802,75.53702488517268
2.9,9.353,144.5663010967099,75.55551133540799
2.95,9.269,147.0588235294118,75.8143216387021
3.0,9.216,149.5513459621137,75.97761861578053
3.05,9.278,152.04386839481558,75.78659196334915
3.1,9.241,154.5363908275175,75.90059173980015
3.15,9.298,157.02891326021938,75.72497046256484
3.2,9.259,159.52143569292127,75.84513238909426
3.25,9.316,162.01395812562316,75.66951111185897
3.3,9.327,164.50648055832505,75.6356192864276
3.35,9.327,166.99900299102697,75.6356192864276
3.4,9.262,169.49152542372886,75.83588916397662
3.45,9.263,171.98404785643075,75.8328080889374
3.5,9.252,174.47657028913264,75.86669991436877
3.55,9.266,176.96909272183453,75.82356486381975
3.6,9.247,179.46161515453645,75.88210528956485
3.65,9.298,181.95413758723834,75.72497046256484
3.7,9.25,184.44666001994023,75.8728620644472
3.75,9.217,186.93918245264211,75.97453754074131
3.8,9.24,189.431704885344,75.90367281483935
3.85,9.457,191.92422731804592,75.22322718546708
3.9,9.479,194.41674975074778,75.15120705631084
